id,title,status,warnings,notes
song_101_211_321,夜明け前の方角板,final_review_draft,,人間レビュー・実生成確認必須
song_101_211_322,禁書目録の小さな仕事1,final_review_draft,,人間レビュー・実生成確認必須
song_101_211_323,水辺の沈黙,final_review_draft,,人間レビュー・実生成確認必須
song_101_212_321,潮位板の書き換え,final_review_draft,,人間レビュー・実生成確認必須
song_101_212_322,禁書目録の小さな仕事2,final_review_draft,,人間レビュー・実生成確認必須
song_101_212_323,空籠の帰り道,final_review_draft,,人間レビュー・実生成確認必須
song_101_311_221,白箱の赤い縁,final_review_draft,,人間レビュー・実生成確認必須
song_101_311_222,赤豆のハリラ鍋,final_review_draft,,人間レビュー・実生成確認必須
song_101_311_223,婚礼行列の小さな仕事1,final_review_draft,,人間レビュー・実生成確認必須
song_101_312_221,香りのない花冠,final_review_draft,,人間レビュー・実生成確認必須
song_101_312_222,夜明けの匂い棚,final_review_draft,,人間レビュー・実生成確認必須
song_101_312_223,婚礼行列の小さな仕事2,final_review_draft,,人間レビュー・実生成確認必須
song_102_211_321,星図観測の小さな仕事3,final_review_draft,,人間レビュー・実生成確認必須
song_102_211_322,禁書目録の小さな仕事3,final_review_draft,,人間レビュー・実生成確認必須
song_102_211_323,森の交信の小さな仕事3,final_review_draft,,人間レビュー・実生成確認必須
song_102_212_321,星図観測の小さな仕事4,final_review_draft,,人間レビュー・実生成確認必須
song_102_212_322,禁書目録の小さな仕事4,final_review_draft,,人間レビュー・実生成確認必須
song_102_212_323,森の交信の小さな仕事4,final_review_draft,,人間レビュー・実生成確認必須
song_102_311_221,薔薇の小さな仕事3,final_review_draft,,人間レビュー・実生成確認必須
song_102_311_222,香辛市場の小さな仕事3,final_review_draft,,人間レビュー・実生成確認必須
song_102_311_223,婚礼行列の小さな仕事3,final_review_draft,,人間レビュー・実生成確認必須
song_102_312_221,薔薇の小さな仕事4,final_review_draft,,人間レビュー・実生成確認必須
song_102_312_222,香辛市場の小さな仕事4,final_review_draft,,人間レビュー・実生成確認必須
song_102_312_223,婚礼行列の小さな仕事4,final_review_draft,,人間レビュー・実生成確認必須
song_201_111_321,星図観測の小さな仕事5,final_review_draft,,人間レビュー・実生成確認必須
song_201_111_322,禁書目録の小さな仕事5,final_review_draft,,人間レビュー・実生成確認必須
song_201_111_323,森の交信の小さな仕事5,final_review_draft,,人間レビュー・実生成確認必須
song_201_112_321,星図観測の小さな仕事6,final_review_draft,,人間レビュー・実生成確認必須
song_201_112_322,禁書目録の小さな仕事6,final_review_draft,,人間レビュー・実生成確認必須
song_201_112_323,森の交信の小さな仕事6,final_review_draft,,人間レビュー・実生成確認必須
song_201_311_121,熱砂の小さな仕事1,final_review_draft,,人間レビュー・実生成確認必須
song_201_311_122,砂嵐の小さな仕事1,final_review_draft,,人間レビュー・実生成確認必須
song_201_311_123,凱旋の小さな仕事1,final_review_draft,,人間レビュー・実生成確認必須
song_201_312_121,熱砂の小さな仕事2,final_review_draft,,人間レビュー・実生成確認必須
song_201_312_122,砂嵐の小さな仕事2,final_review_draft,,人間レビュー・実生成確認必須
song_201_312_123,凱旋の小さな仕事2,final_review_draft,,人間レビュー・実生成確認必須
song_202_111_321,夜明け前の方角板,final_review_draft,,人間レビュー・実生成確認必須
song_202_111_322,禁書目録の小さな仕事1,final_review_draft,,人間レビュー・実生成確認必須
song_202_111_323,水辺の沈黙,final_review_draft,,人間レビュー・実生成確認必須
song_202_112_321,潮位板の書き換え,final_review_draft,,人間レビュー・実生成確認必須
song_202_112_322,禁書目録の小さな仕事2,final_review_draft,,人間レビュー・実生成確認必須
song_202_112_323,空籠の帰り道,final_review_draft,,人間レビュー・実生成確認必須
song_202_311_121,熱砂の小さな仕事3,final_review_draft,,人間レビュー・実生成確認必須
song_202_311_122,砂嵐の小さな仕事3,final_review_draft,,人間レビュー・実生成確認必須
song_202_311_123,凱旋の小さな仕事3,final_review_draft,,人間レビュー・実生成確認必須
song_202_312_121,熱砂の小さな仕事4,final_review_draft,,人間レビュー・実生成確認必須
song_202_312_122,砂嵐の小さな仕事4,final_review_draft,,人間レビュー・実生成確認必須
song_202_312_123,凱旋の小さな仕事4,final_review_draft,,人間レビュー・実生成確認必須
song_301_111_221,薔薇の小さな仕事5,final_review_draft,,人間レビュー・実生成確認必須
song_301_111_222,香辛市場の小さな仕事5,final_review_draft,,人間レビュー・実生成確認必須
song_301_111_223,婚礼行列の小さな仕事5,final_review_draft,,人間レビュー・実生成確認必須
song_301_112_221,薔薇の小さな仕事6,final_review_draft,,人間レビュー・実生成確認必須
song_301_112_222,香辛市場の小さな仕事6,final_review_draft,,人間レビュー・実生成確認必須
song_301_112_223,婚礼行列の小さな仕事6,final_review_draft,,人間レビュー・実生成確認必須
song_301_211_121,熱砂の小さな仕事5,final_review_draft,,人間レビュー・実生成確認必須
song_301_211_122,砂嵐の小さな仕事5,final_review_draft,,人間レビュー・実生成確認必須
song_301_211_123,凱旋の小さな仕事5,final_review_draft,,人間レビュー・実生成確認必須
song_301_212_121,熱砂の小さな仕事6,final_review_draft,,人間レビュー・実生成確認必須
song_301_212_122,砂嵐の小さな仕事6,final_review_draft,,人間レビュー・実生成確認必須
song_301_212_123,凱旋の小さな仕事6,final_review_draft,,人間レビュー・実生成確認必須
song_302_111_221,白箱の赤い縁,final_review_draft,,人間レビュー・実生成確認必須
song_302_111_222,赤豆のハリラ鍋,final_review_draft,,人間レビュー・実生成確認必須
song_302_111_223,婚礼行列の小さな仕事1,final_review_draft,,人間レビュー・実生成確認必須
song_302_112_221,香りのない花冠,final_review_draft,,人間レビュー・実生成確認必須
song_302_112_222,夜明けの匂い棚,final_review_draft,,人間レビュー・実生成確認必須
song_302_112_223,婚礼行列の小さな仕事2,final_review_draft,,人間レビュー・実生成確認必須
song_302_211_121,熱砂の小さな仕事1,final_review_draft,,人間レビュー・実生成確認必須
song_302_211_122,砂嵐の小さな仕事1,final_review_draft,,人間レビュー・実生成確認必須
song_302_211_123,凱旋の小さな仕事1,final_review_draft,,人間レビュー・実生成確認必須
song_302_212_121,熱砂の小さな仕事2,final_review_draft,,人間レビュー・実生成確認必須
song_302_212_122,砂嵐の小さな仕事2,final_review_draft,,人間レビュー・実生成確認必須
song_302_212_123,凱旋の小さな仕事2,final_review_draft,,人間レビュー・実生成確認必須
song_401_511_621,墓標読解の小さな仕事1,final_review_draft,,人間レビュー・実生成確認必須
song_401_511_622,破れた古文書の小さな仕事1,final_review_draft,,人間レビュー・実生成確認必須
song_401_511_623,橋の夢と雨雲,final_review_draft,,人間レビュー・実生成確認必須
song_401_512_621,墓標読解の小さな仕事2,final_review_draft,,人間レビュー・実生成確認必須
song_401_512_622,破れた古文書の小さな仕事2,final_review_draft,,人間レビュー・実生成確認必須
song_401_512_623,予知夢の記録の小さな仕事2,final_review_draft,,人間レビュー・実生成確認必須
song_401_611_521,破れた控え半券,final_review_draft,,人間レビュー・実生成確認必須
song_401_611_522,旅芸人宿の小さな仕事1,final_review_draft,,人間レビュー・実生成確認必須
song_401_611_523,香油取引の小さな仕事1,final_review_draft,,人間レビュー・実生成確認必須
song_401_612_521,幻の舞台の小さな仕事2,final_review_draft,,人間レビュー・実生成確認必須
song_401_612_522,旅芸人宿の小さな仕事2,final_review_draft,,人間レビュー・実生成確認必須
song_401_612_523,香油取引の小さな仕事2,final_review_draft,,人間レビュー・実生成確認必須
song_402_511_621,墓標読解の小さな仕事3,final_review_draft,,人間レビュー・実生成確認必須
song_402_511_622,破れた古文書の小さな仕事3,final_review_draft,,人間レビュー・実生成確認必須
song_402_511_623,予知夢の記録の小さな仕事3,final_review_draft,,人間レビュー・実生成確認必須
song_402_512_621,墓標読解の小さな仕事4,final_review_draft,,人間レビュー・実生成確認必須
song_402_512_622,破れた古文書の小さな仕事4,final_review_draft,,人間レビュー・実生成確認必須
song_402_512_623,予知夢の記録の小さな仕事4,final_review_draft,,人間レビュー・実生成確認必須
song_402_611_521,幻の舞台の小さな仕事3,final_review_draft,,人間レビュー・実生成確認必須
song_402_611_522,旅芸人宿の小さな仕事3,final_review_draft,,人間レビュー・実生成確認必須
song_402_611_523,香油取引の小さな仕事3,final_review_draft,,人間レビュー・実生成確認必須
song_402_612_521,幻の舞台の小さな仕事4,final_review_draft,,人間レビュー・実生成確認必須
song_402_612_522,旅芸人宿の小さな仕事4,final_review_draft,,人間レビュー・実生成確認必須
song_402_612_523,香油取引の小さな仕事4,final_review_draft,,人間レビュー・実生成確認必須
song_501_411_621,墓標読解の小さな仕事5,final_review_draft,,人間レビュー・実生成確認必須
song_501_411_622,破れた古文書の小さな仕事5,final_review_draft,,人間レビュー・実生成確認必須
song_501_411_623,予知夢の記録の小さな仕事5,final_review_draft,,人間レビュー・実生成確認必須
song_501_412_621,墓標読解の小さな仕事6,final_review_draft,,人間レビュー・実生成確認必須
song_501_412_622,破れた古文書の小さな仕事6,final_review_draft,,人間レビュー・実生成確認必須
song_501_412_623,予知夢の記録の小さな仕事6,final_review_draft,,人間レビュー・実生成確認必須
song_501_611_421,オアシスの小さな仕事1,final_review_draft,,人間レビュー・実生成確認必須
song_501_611_422,先導鈴の数え直し,final_review_draft,,人間レビュー・実生成確認必須
song_501_611_423,宿命の小さな仕事1,final_review_draft,,人間レビュー・実生成確認必須
song_501_612_421,オアシスの小さな仕事2,final_review_draft,,人間レビュー・実生成確認必須
song_501_612_422,隊商の小さな仕事2,final_review_draft,,人間レビュー・実生成確認必須
song_501_612_423,宿命の小さな仕事2,final_review_draft,,人間レビュー・実生成確認必須
song_502_411_621,墓標読解の小さな仕事1,final_review_draft,,人間レビュー・実生成確認必須
song_502_411_622,破れた古文書の小さな仕事1,final_review_draft,,人間レビュー・実生成確認必須
song_502_411_623,橋の夢と雨雲,final_review_draft,,人間レビュー・実生成確認必須
song_502_412_621,墓標読解の小さな仕事2,final_review_draft,,人間レビュー・実生成確認必須
song_502_412_622,破れた古文書の小さな仕事2,final_review_draft,,人間レビュー・実生成確認必須
song_502_412_623,予知夢の記録の小さな仕事2,final_review_draft,,人間レビュー・実生成確認必須
song_502_611_421,オアシスの小さな仕事3,final_review_draft,,人間レビュー・実生成確認必須
song_502_611_422,隊商の小さな仕事3,final_review_draft,,人間レビュー・実生成確認必須
song_502_611_423,宿命の小さな仕事3,final_review_draft,,人間レビュー・実生成確認必須
song_502_612_421,オアシスの小さな仕事4,final_review_draft,,人間レビュー・実生成確認必須
song_502_612_422,隊商の小さな仕事4,final_review_draft,,人間レビュー・実生成確認必須
song_502_612_423,宿命の小さな仕事4,final_review_draft,,人間レビュー・実生成確認必須
song_601_411_521,幻の舞台の小さな仕事5,final_review_draft,,人間レビュー・実生成確認必須
song_601_411_522,旅芸人宿の小さな仕事5,final_review_draft,,人間レビュー・実生成確認必須
song_601_411_523,香油取引の小さな仕事5,final_review_draft,,人間レビュー・実生成確認必須
song_601_412_521,幻の舞台の小さな仕事6,final_review_draft,,人間レビュー・実生成確認必須
song_601_412_522,旅芸人宿の小さな仕事6,final_review_draft,,人間レビュー・実生成確認必須
song_601_412_523,香油取引の小さな仕事6,final_review_draft,,人間レビュー・実生成確認必須
song_601_511_421,オアシスの小さな仕事5,final_review_draft,,人間レビュー・実生成確認必須
song_601_511_422,隊商の小さな仕事5,final_review_draft,,人間レビュー・実生成確認必須
song_601_511_423,宿命の小さな仕事5,final_review_draft,,人間レビュー・実生成確認必須
song_601_512_421,オアシスの小さな仕事6,final_review_draft,,人間レビュー・実生成確認必須
song_601_512_422,隊商の小さな仕事6,final_review_draft,,人間レビュー・実生成確認必須
song_601_512_423,宿命の小さな仕事6,final_review_draft,,人間レビュー・実生成確認必須
song_602_411_521,破れた控え半券,final_review_draft,,人間レビュー・実生成確認必須
song_602_411_522,旅芸人宿の小さな仕事1,final_review_draft,,人間レビュー・実生成確認必須
song_602_411_523,香油取引の小さな仕事1,final_review_draft,,人間レビュー・実生成確認必須
song_602_412_521,幻の舞台の小さな仕事2,final_review_draft,,人間レビュー・実生成確認必須
song_602_412_522,旅芸人宿の小さな仕事2,final_review_draft,,人間レビュー・実生成確認必須
song_602_412_523,香油取引の小さな仕事2,final_review_draft,,人間レビュー・実生成確認必須
song_602_511_421,オアシスの小さな仕事1,final_review_draft,,人間レビュー・実生成確認必須
song_602_511_422,先導鈴の数え直し,final_review_draft,,人間レビュー・実生成確認必須
song_602_511_423,宿命の小さな仕事1,final_review_draft,,人間レビュー・実生成確認必須
song_602_512_421,オアシスの小さな仕事2,final_review_draft,,人間レビュー・実生成確認必須
song_602_512_422,隊商の小さな仕事2,final_review_draft,,人間レビュー・実生成確認必須
song_602_512_423,宿命の小さな仕事2,final_review_draft,,人間レビュー・実生成確認必須
