term,count,ids
あした,6,114136 124136 212136 222136 312136 322136
こえ,0,
うた,12,113120 123120 211120 221120 311120 321120 113122 123122 211122 221122 311122 321122
しるし,3,115110 215110 313110
ひかり,0,
ここ,0,
まだ,12,113130 123130 211130 221130 311130 321130 113133 123133 211133 221133 311133 321133
そっと,12,115120 125120 215120 225120 313120 323120 115128 125128 215128 225128 313128 323128
わたし,48,114110 115110 115130 116120 124110 125110 125130 126120 212110 215110 215130 216120 222110 225110 225130 226120 312110 313110 313130 314120 322110 323110 323130 324120 114114 115117 115139 11612B 124114 125117 125139 12612B 212114 215117 215139 21612B 222114 225117 225139 22612B 312114 313117 313139 31412B 322114 323117 323139 32412B
なまえ,0,
かぜ,15,116110 125130 216110 225130 314110 323130 114136 124136 212136 222136 312136 322136
ゆめ,0,
